À,1286
Á,1753
Â,549
Ã,1046
Ä,798
Å,108
Æ,424
Ç,664
È,367
É,4
Ê,2411
Ë,732
Ì,1350
Í,495
Î,834
Ï,1858
Ð,607
Ñ,1903
Ò,1049
Ó,280
Ô,200
Õ,296
Ö,240
×,727
Ø,289
Ù,160
Ý,234
Þ,147
ß,222
